From,To,perfect_match_percent,threshold_pass_percent,failed_percent,total_success_rate,total_observations,successful_observations,failed_observations,total_routes,single_route_observations,multi_route_observations,expected_observations,missing_observations,data_coverage_percent,id
10916,9350,100,0,0,100,384,384,0,384,384,0,384,0,100,234
10918,11380,100,0,0,100,384,384,0,384,384,0,384,0,100,235
10918,9827,100,0,0,100,384,384,0,384,384,0,384,0,100,236
10927,4076,100,0,0,100,384,384,0,384,384,0,384,0,100,237
10928,1781,100,0,0,100,384,384,0,384,384,0,384,0,100,238
10929,10828,100,0,0,100,384,384,0,384,384,0,384,0,100,239
10929,1937,100,0,0,100,384,384,0,384,384,0,384,0,100,240
10929,823,100,0,0,100,384,384,0,391,377,7,384,0,100,241
1093,1089,100,0,0,100,384,384,0,384,384,0,384,0,100,242
1093,3938,100,0,0,100,384,384,0,384,384,0,384,0,100,243
1093,4203,100,0,0,100,384,384,0,384,384,0,384,0,100,244
10937,2003,100,0,0,100,384,384,0,384,384,0,384,0,100,245
1095,12619,100,0,0,100,384,384,0,384,384,0,384,0,100,246
10957,12351,100,0,0,100,384,384,0,384,384,0,384,0,100,247
10957,3437,100,0,0,100,384,384,0,384,384,0,384,0,100,248
10957,7173,100,0,0,100,384,384,0,384,384,0,384,0,100,249
10958,119,100,0,0,100,384,384,0,384,384,0,384,0,100,250
10958,125,100,0,0,100,384,384,0,384,384,0,384,0,100,251
1099,1101,100,0,0,100,384,384,0,384,384,0,384,0,100,252
1099,4203,100,0,0,100,384,384,0,384,384,0,384,0,100,253
11,13,100,0,0,100,384,384,0,384,384,0,384,0,100,254
11,7,100,0,0,100,384,384,0,384,384,0,384,0,100,255
1101,1099,100,0,0,100,384,384,0,384,384,0,384,0,100,256
1101,1105,100,0,0,100,384,384,0,384,384,0,384,0,100,257
11044,11288,100,0,0,100,384,384,0,384,384,0,384,0,100,258
11044,11986,100,0,0,100,384,384,0,384,384,0,384,0,100,259
11044,39,100,0,0,100,384,384,0,384,384,0,384,0,100,260
11045,10811,100,0,0,100,384,384,0,384,384,0,384,0,100,261
11045,11291,100,0,0,100,384,384,0,384,384,0,384,0,100,262
1105,1101,100,0,0,100,384,384,0,384,384,0,384,0,100,263
1105,1109,100,0,0,100,384,384,0,384,384,0,384,0,100,264
11050,9732,100,0,0,100,384,384,0,384,384,0,384,0,100,265
11053,9827,100,0,0,100,384,384,0,384,384,0,384,0,100,266
11056,7271,100,0,0,100,384,384,0,384,384,0,384,0,100,267
1109,1105,100,0,0,100,384,384,0,384,384,0,384,0,100,268
1109,12139,100,0,0,100,384,384,0,384,384,0,384,0,100,269
1109,4031,100,0,0,100,384,384,0,384,384,0,384,0,100,270
11097,7093,100,0,0,100,384,384,0,384,384,0,384,0,100,271
11185,1743,100,0,0,100,384,384,0,384,384,0,384,0,100,272
11992,11991,100,0,0,100,384,384,0,384,384,0,384,0,100,273
11097,9619,100,0,0,100,384,384,0,384,384,0,384,0,100,274
1113,11303,100,0,0,100,384,384,0,384,384,0,384,0,100,275
1113,4031,100,0,0,100,384,384,0,384,384,0,384,0,100,276
1115,1117,100,0,0,100,384,384,0,384,384,0,384,0,100,277
1115,11303,100,0,0,100,384,384,0,384,384,0,384,0,100,278
1115,1165,100,0,0,100,384,384,0,384,384,0,384,0,100,279
1115,9456,100,0,0,100,384,384,0,384,384,0,384,0,100,280
1117,1059,100,0,0,100,384,384,0,384,384,0,384,0,100,281
1117,1115,100,0,0,100,384,384,0,384,384,0,384,0,100,282
1117,9150,100,0,0,100,384,384,0,384,384,0,384,0,100,283
11176,11185,100,0,0,100,384,384,0,384,384,0,384,0,100,284
11185,11176,100,0,0,100,384,384,0,384,384,0,384,0,100,285
9702,11988,100,0,0,100,384,384,0,384,384,0,384,0,100,286
11205,11349,100,0,0,100,384,384,0,384,384,0,384,0,100,287
11224,335,100,0,0,100,384,384,0,384,384,0,384,0,100,288
11224,4080,100,0,0,100,384,384,0,384,384,0,384,0,100,289
11225,11993,100,0,0,100,384,384,0,384,384,0,384,0,100,290
11225,4186,100,0,0,100,384,384,0,384,384,0,384,0,100,291
11225,4219,100,0,0,100,384,384,0,384,384,0,384,0,100,292
11993,11225,100,0,0,100,384,384,0,384,384,0,384,0,100,293
11205,649,100,0,0,100,384,384,0,384,384,0,384,0,100,294
11205,9251,100,0,0,100,384,384,0,384,384,0,384,0,100,295
11218,1301,100,0,0,100,384,384,0,384,384,0,384,0,100,296
11218,1337,100,0,0,100,384,384,0,384,384,0,384,0,100,297
11222,599,100,0,0,100,384,384,0,384,384,0,384,0,100,298
11222,7046,100,0,0,100,384,384,0,384,384,0,384,0,100,299
11223,1908,100,0,0,100,384,384,0,384,384,0,384,0,100,300
11223,7193,100,0,0,100,384,384,0,384,384,0,384,0,100,301
12067,1397,100,0,0,100,384,384,0,384,384,0,384,0,100,302
11230,1923,100,0,0,100,384,384,0,384,384,0,384,0,100,303
11230,3026,100,0,0,100,384,384,0,384,384,0,384,0,100,304
11231,10024,100,0,0,100,384,384,0,384,384,0,384,0,100,305
11231,12131,100,0,0,100,384,384,0,384,384,0,384,0,100,306
11232,4095,100,0,0,100,384,384,0,384,384,0,384,0,100,307
11232,7200,100,0,0,100,384,384,0,384,384,0,384,0,100,308
11233,11439,100,0,0,100,384,384,0,511,285,99,384,0,100,309
11233,11440,100,0,0,100,384,384,0,384,384,0,384,0,100,310
1127,12614,100,0,0,100,384,384,0,384,384,0,384,0,100,311
1127,8070,100,0,0,100,384,384,0,386,382,2,384,0,100,312
11288,10793,100,0,0,100,384,384,0,384,384,0,384,0,100,313
11288,11044,100,0,0,100,384,384,0,384,384,0,384,0,100,314
11288,12131,100,0,0,100,384,384,0,384,384,0,384,0,100,315
11288,4205,100,0,0,100,384,384,0,384,384,0,384,0,100,316
11290,9276,100,0,0,100,384,384,0,384,384,0,384,0,100,317
11291,11045,100,0,0,100,384,384,0,384,384,0,384,0,100,318
11291,97,100,0,0,100,384,384,0,384,384,0,384,0,100,319
11292,3011,100,0,0,100,384,384,0,384,384,0,384,0,100,320
11292,9157,100,0,0,100,384,384,0,384,384,0,384,0,100,321
11295,7234,100,0,0,100,384,384,0,384,384,0,384,0,100,322
11295,7235,100,0,0,100,384,384,0,384,384,0,384,0,100,323
11296,933,100,0,0,100,384,384,0,384,384,0,384,0,100,324
11296,935,100,0,0,100,384,384,0,384,384,0,384,0,100,325
11297,10765,100,0,0,100,384,384,0,384,384,0,384,0,100,326
11297,935,100,0,0,100,384,384,0,384,384,0,384,0,100,327
11298,11299,100,0,0,100,384,384,0,384,384,0,384,0,100,328
11299,11298,100,0,0,100,384,384,0,384,384,0,384,0,100,329
11299,7222,100,0,0,100,384,384,0,384,384,0,384,0,100,330
11300,11301,100,0,0,100,384,384,0,384,384,0,384,0,100,331
11300,11985,100,0,0,100,384,384,0,384,384,0,384,0,100,332
11301,1059,100,0,0,100,384,384,0,384,384,0,384,0,100,333
11301,11300,100,0,0,100,384,384,0,384,384,0,384,0,100,334
11302,1059,100,0,0,100,384,384,0,384,384,0,384,0,100,335
11289,4074,100,0,0,100,384,384,0,384,384,0,384,0,100,336
11290,10916,100,0,0,100,384,384,0,384,384,0,384,0,100,337
11290,8009,100,0,0,100,384,384,0,384,384,0,384,0,100,338
11303,1113,100,0,0,100,384,384,0,384,384,0,384,0,100,339
11303,1115,100,0,0,100,384,384,0,384,384,0,384,0,100,340
11304,8070,100,0,0,100,384,384,0,384,384,0,384,0,100,341
11304,9478,0,100,0,100,384,384,0,384,384,0,384,0,100,342
11305,1077,0,100,0,100,384,384,0,384,384,0,384,0,100,343
11305,4082,100,0,0,100,384,384,0,384,384,0,384,0,100,344
11306,10616,100,0,0,100,384,384,0,384,384,0,384,0,100,345
11306,459,99.7396,0,0.260417,99.7396,384,383,1,408,360,24,384,0,100,346
