kid,Id,code_a,dir_a,azi_a,code_b,dir_b,azi_b,code_start,dir_start,code_end,dir_end,travel_mode,azi_a_raw,azi_b_raw,azi_a_sw,azi_b_sw,azi_a_pl,azi_b_pl,axis_fix,geometry_wkt
469,469-62,2,NE,26.353335473915287,6,SW,206.36106248064655,6,SW,2,NE,6-2,26.353335473915287,206.36106248064655,54.44120975969576,234.45519147590693,30.408791923689307,210.4087919236893,0,"LINESTRING (35.15228 32.82453, 35.16653 32.84881)"
567,567-73,3,E,88.74243783714937,7,W,268.7488884275455,7,W,3,E,7-3,88.74243783714937,268.7488884275455,0.8697761542407609,180.86990283832208,88.94087094810098,268.94087094810095,0,"LINESTRING (35.1523 32.82431, 35.1642 32.82453)"
87,87-37,7,W,280.68896381092065,3,E,100.68808100067348,3,E,7,W,3-7,280.68896381092065,100.68808100067348,172.31511636097932,352.31527455633704,279.24611274553376,99.24611274553376,0,"LINESTRING (34.402 30.8812, 34.40028 30.88148)"
289,289-73,3,E,70.45097596301582,7,W,250.63646216184185,7,W,3,E,7-3,70.45097596301582,250.63646216184185,14.104866272974466,194.16722779692677,73.06401994040213,253.06401994040212,0,"LINESTRING (34.40199 30.88113, 34.7628 30.991)"
47,47-48,8,NW,296.30915588791856,4,SE,116.3010710291025,4,SE,8,NW,4-8,296.30915588791856,116.3010710291025,160.8865214648683,340.89024923364974,292.8820924255846,112.88209242558457,0,"LINESTRING (35.18872 31.82591, 35.17339 31.83238)"
42,42-84,4,SE,143.90653586916267,8,NW,323.9146864226659,8,NW,4,SE,8-4,143.90653586916267,323.9146864226659,316.1277851621044,136.11734692062294,139.51354209361585,319.5135420936158,0,"LINESTRING (35.1886 31.8257, 35.20406 31.80759)"
213,213-48,8,NW,318.0360201229908,4,SE,138.03247616628036,4,SE,8,NW,4-8,318.0360201229908,138.03247616628036,142.020492917927,322.0241213513874,313.46134290691026,133.46134290691026,0,"LINESTRING (34.91468 31.98468, 34.90799 31.99102)"
214,214-73,3,E,92.55130318370479,7,W,272.56313100390827,7,W,3,E,7-3,92.55130318370479,272.56313100390827,358.20456228882057,178.20407564566338,92.17993330340718,272.17993330340715,0,"LINESTRING (34.91507 31.98446, 34.9374 31.98361)"
440,440-51,1,N,349.8149246112988,5,S,169.8142773868833,5,S,1,N,5-1,349.8149246112988,169.8142773868833,104.33210344571872,284.3354589912368,348.1261508977013,168.12615089770128,0,"LINESTRING (35.00209 31.74605, 35.00086 31.7519)"
546,546-15,5,S,174.82301056782796,1,N,354.82339988288015,1,N,5,S,1-5,174.82301056782796,354.82339988288015,277.3437641650728,97.33976038599499,173.94826789120154,353.9482678912015,0,"LINESTRING (35.00179 31.74591, 35.00253 31.73893)"
439,439-48,8,NW,309.12313440807804,4,SE,129.11666605152914,4,SE,8,NW,4-8,309.12313440807804,129.11666605152914,150.23579340267116,330.24069108918695,304.79442769804484,124.79442769804486,0,"LINESTRING (35.00077 31.75224, 34.98848 31.76078)"
440,440-15,5,S,169.1830778706879,1,N,349.1837461431461,1,N,5,S,1-5,169.1830778706879,349.1837461431461,285.20358094409664,105.20032292071446,167.39644942290678,347.39644942290676,0,"LINESTRING (35.00071 31.75182, 35.00198 31.74614)"
1216,1216-26,6,SW,239.93105305985185,2,NE,59.92639117628295,2,NE,6,SW,2-6,239.93105305985185,59.92639117628295,202.08237998279057,22.079859807606,243.6947918465426,63.69479184654263,0,"LINESTRING (35.22313 31.8296, 35.21429 31.82523)"
58,58-73,3,E,102.05479475565093,7,W,282.06161899870307,7,W,3,E,7-3,102.05479475565093,282.06161899870307,351.4897354000976,171.48837401733434,100.33601512039476,280.3360151203948,0,"LINESTRING (35.22332 31.8295, 35.23626 31.82714)"
224,224-37,7,W,291.68162128091217,3,E,111.67493502982407,3,E,7,W,3-7,291.68162128091217,111.67493502982407,164.53098237361374,344.5333932165362,288.6143857534366,108.61438575343658,0,"LINESTRING (35.13248 32.51016, 35.12004 32.51435)"
1214,1214-84,4,SE,127.28232280848805,8,NW,307.29421415134004,8,NW,4,SE,8-4,127.28232280848805,307.29421415134004,332.0792461419731,152.07102615526017,122.8332592891557,302.8332592891557,0,"LINESTRING (35.13265 32.50991, 35.15478 32.49563)"
1207,1207-62,2,NE,28.378218487990722,6,SW,208.38074709567118,6,SW,2,NE,6-2,28.378218487990722,208.38074709567118,52.059196029545674,232.06338950035894,32.623709533612846,212.62370953361284,0,"LINESTRING (35.1692 32.85851, 35.17386 32.86579)"
468,468-15,5,S,193.63644882048516,1,N,13.635000350662722,1,N,5,S,1-5,193.63644882048516,13.635000350662722,250.71244771462872,70.70709693545548,196.03495864944972,16.034958649449706,0,"LINESTRING (35.16906 32.8585, 35.16639 32.84921)"
2196,2196-73,3,E,82.96842417317703,7,W,262.9977070402358,7,W,3,E,7-3,82.96842417317703,262.9977070402358,4.870081726088693,184.87329196185505,84.07750579577045,264.07750579577043,0,"LINESTRING (35.09452 32.98036, 35.14831 32.98594)"
2293,2293-51,1,N,7.008923369028916,5,S,187.00959844479553,5,S,1,N,5-1,7.008923369028916,187.00959844479553,79.9326115333428,259.9374984747396,8.299895079268302,188.29989507926828,0,"LINESTRING (35.09441 32.98051, 35.09565 32.98901)"
2294,2294-15,5,S,185.8814948785957,1,N,5.879606696671203,1,N,5,S,1-5,185.8814948785957,5.879606696671203,261.5527160876546,81.53638901033561,186.96604810511081,6.966048105110826,0,"LINESTRING (35.09416 32.98043, 35.09069 32.95203)"
2196,2196-37,7,W,263.1734860562464,3,E,83.14414319159766,3,E,7,W,3-7,263.1734860562464,83.14414319159766,184.7506257588114,4.74749032554206,264.2262652447412,84.22626524474124,0,"LINESTRING (35.14821 32.98602, 35.09431 32.98057)"
485,485-51,1,N,351.45431291498085,5,S,171.45134997739623,5,S,1,N,5-1,351.45431291498085,171.45134997739623,102.24272090446664,282.2602784540165,349.8870319762065,169.88703197620654,0,"LINESTRING (35.1484 32.98602, 35.14296 33.01652)"
484,484-15,5,S,168.0250718381673,1,N,348.0285114939824,1,N,5,S,1-5,168.0250718381673,348.0285114939824,287.0385056634309,107.02404311436301,165.87792022248334,345.87792022248334,0,"LINESTRING (35.1482 32.98594, 35.15452 32.96082)"
482,482-51,1,N,13.431621900939103,5,S,193.43402718181017,5,S,1,N,5-1,13.431621900939103,193.43402718181017,70.97275825763424,250.98177491314522,15.805072086729316,195.80507208672933,0,"LINESTRING (35.17758 32.87705, 35.18201 32.8927)"
476,476-15,5,S,195.3631155585525,1,N,15.361145350778173,1,N,5,S,1-5,195.3631155585525,15.361145350778173,248.37451947020173,68.368096124959,198.033205065135,18.03320506513502,0,"LINESTRING (35.17745 32.87709, 35.17382 32.86594)"
2192,2192-73,3,E,92.6074531887804,7,W,272.62020286939924,7,W,3,E,7-3,92.6074531887804,272.62020286939924,358.19012039617945,178.1896026989445,92.20259816176915,272.2025981617692,0,"LINESTRING (35.10328 33.01542, 35.12668 33.01452)"
2298,2298-15,5,S,197.97733145669443,1,N,17.97533205692946,1,N,5,S,1-5,197.97733145669443,17.97533205692946,244.89546409927237,64.88998413250897,201.06167965987854,21.06167965987856,0,"LINESTRING (35.10306 33.01546, 35.09939 33.00593)"
2297,2297-51,1,N,6.218750747857243,5,S,186.22054397657865,5,S,1,N,5-1,6.218750747857243,186.22054397657865,81.04602610730127,261.0606502721042,7.371680735933185,187.37168073593318,0,"LINESTRING (35.10326 33.01566, 35.10655 33.04109)"
525,525-15,5,S,169.6546366199966,1,N,349.65829922197014,1,N,5,S,1-5,169.6546366199966,349.65829922197014,284.7257180371327,104.70765596916186,167.819314262258,347.819314262258,0,"LINESTRING (35.09918 32.71342, 35.10596 32.68201)"
2206,2206-51,1,N,6.507854906505733,5,S,186.50860621941942,5,S,1,N,5-1,6.507854906505733,186.50860621941942,80.6719036006208,260.6778261834082,7.685716186592674,187.68571618659269,0,"LINESTRING (35.0995 32.71341, 35.10089 32.72371)"
2278,2278-51,1,N,340.62512658485053,5,S,160.62243464529203,5,S,1,N,5-1,340.62512658485053,160.62243464529203,116.84560609625433,296.85248840661757,337.4107308729233,157.4107308729233,0,"LINESTRING (35.09955 32.71511, 35.09457 32.72708)"
612,612-73,3,E,105.90258985268281,7,W,285.9113980410233,7,W,3,E,7-3,105.90258985268281,285.9113980410233,348.83526755438857,168.83302002291063,103.51977907165036,283.51977907165036,0,"LINESTRING (35.18192 32.89311, 35.19814 32.88921)"
