data_id,name,segment_id,route_alternative,requested_time,timestamp,day_in_week,day_type,duration,static_duration,distance,speed,url,polyline,is_valid,valid_code,hausdorff_distance,hausdorff_pass,link_id,date,hour_of_day,iso_week,weekday_index,daytype,is_holiday,holiday_name
317352003,s_1-5,1530526,1,13:45:00,2025-10-01 13:45:39+03:00,יום ד,ערב חג,200,181,4661,83.898,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317352003&a=1&du=200,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,13,40,2.0,weekday,False,
317352998,s_1-5,1530526,1,14:00:00,2025-10-01 14:01:46+03:00,יום ד,ערב חג,184,181,4661,91.1935,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317352998&a=1&du=184,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,14,40,2.0,weekday,False,
317353259,s_1-5,1530526,1,14:15:00,2025-10-01 14:15:38+03:00,יום ד,ערב חג,192,181,4661,87.3938,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317353259&a=1&du=192,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,14,40,2.0,weekday,False,
317362548,s_1-5,1530526,1,14:30:00,2025-10-01 14:31:43+03:00,יום ד,ערב חג,183,181,4661,91.6918,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317362548&a=1&du=183,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,14,40,2.0,weekday,False,
317363693,s_1-5,1530526,1,14:45:00,2025-10-01 14:45:37+03:00,יום ד,ערב חג,181,181,4661,92.705,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317363693&a=1&du=181,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,14,40,2.0,weekday,False,
317364257,s_1-5,1530526,1,15:00:00,2025-10-01 15:01:44+03:00,יום ד,ערב חג,187,181,4661,89.7305,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317364257&a=1&du=187,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,15,40,2.0,weekday,False,
317369801,s_1-5,1530526,1,15:15:00,2025-10-01 15:15:38+03:00,יום ד,ערב חג,191,181,4661,87.8513,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317369801&a=1&du=191,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,15,40,2.0,weekday,False,
317371257,s_1-5,1530526,1,15:30:00,2025-10-01 15:31:43+03:00,יום ד,ערב חג,184,181,4661,91.1935,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317371257&a=1&du=184,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,15,40,2.0,weekday,False,
317378535,s_1-5,1530526,1,15:45:00,2025-10-01 15:45:36+03:00,יום ד,ערב חג,180,181,4661,93.22,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317378535&a=1&du=180,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,15,40,2.0,weekday,False,
317379646,s_1-5,1530526,1,16:00:00,2025-10-01 16:01:44+03:00,יום ד,ערב חג,174,181,4661,96.4345,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317379646&a=1&du=174,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,16,40,2.0,weekday,False,
