link_id,percent_valid,hours_with_data,hours_valid,hours_dropped,percent_valid_hours,days_covered
s_11427-2205,100.0,96,96,0,100.0,4
s_11427-369,100.0,96,96,0,100.0,4
s_11428-11429,100.0,96,96,0,100.0,4
s_11428-1195,100.0,96,96,0,100.0,4
s_11429-11428,100.0,96,96,0,100.0,4
s_11429-2264,100.0,96,96,0,100.0,4
s_11430-1321,100.0,96,96,0,100.0,4
s_11430-4081,100.0,96,96,0,100.0,4
s_11433-10187,100.0,96,96,0,100.0,4
s_11433-9429,100.0,96,96,0,100.0,4
s_11434-9989,100.0,96,96,0,100.0,4
s_11434-9999,100.0,96,96,0,100.0,4
s_11435-1207,100.0,96,96,0,100.0,4
s_11435-8039,100.0,96,96,0,100.0,4
s_11436-11437,100.0,96,96,0,100.0,4
s_11436-9334,100.0,96,96,0,100.0,4
s_11437-11436,100.0,96,96,0,100.0,4
s_11437-4060,100.0,96,96,0,100.0,4
s_11438-1219,100.0,96,96,0,100.0,4
s_11438-2324,100.0,96,96,0,100.0,4
s_11439-11233,100.0,96,96,0,100.0,4
s_11439-3903,100.0,96,96,0,100.0,4
s_11440-11233,100.0,96,96,0,100.0,4
s_11440-3842,100.0,96,96,0,100.0,4
s_11441-2327,100.0,96,96,0,100.0,4
s_11441-3842,100.0,96,96,0,100.0,4
s_11442-1153,100.0,96,96,0,100.0,4
s_11442-2327,100.0,96,96,0,100.0,4
s_11443-1151,100.0,96,96,0,100.0,4
s_11443-3017,100.0,96,96,0,100.0,4
s_11444-1153,100.0,96,96,0,100.0,4
s_11444-1155,100.0,96,96,0,100.0,4
s_11445-1155,100.0,96,96,0,100.0,4
s_11445-3018,100.0,96,96,0,100.0,4
s_11446-12067,100.0,96,96,0,100.0,4
s_11446-3545,100.0,96,96,0,100.0,4
s_11447-1405,100.0,96,96,0,100.0,4
s_11447-2331,100.0,96,96,0,100.0,4
s_11448-2331,100.0,96,96,0,100.0,4
s_11448-2335,100.0,96,96,0,100.0,4
s_11449-1449,100.0,96,96,0,100.0,4
s_11449-2335,100.0,96,96,0,100.0,4
s_11451-1255,100.0,96,96,0,100.0,4
s_11451-475,100.0,96,96,0,100.0,4
s_1147-1139,100.0,96,96,0,100.0,4
s_1147-1149,100.0,96,96,0,100.0,4
s_1147-3411,100.0,96,96,0,100.0,4
s_1147-3770,100.0,96,96,0,100.0,4
s_1149-1147,100.0,96,96,0,100.0,4
s_1149-3017,100.0,96,96,0,100.0,4
s_1151-11443,100.0,96,96,0,100.0,4
s_1151-1153,100.0,96,96,0,100.0,4
s_1153-11442,100.0,96,96,0,100.0,4
s_1153-11444,100.0,96,96,0,100.0,4
s_1153-1151,100.0,96,96,0,100.0,4
s_1155-11444,100.0,96,96,0,100.0,4
s_1155-11445,100.0,96,96,0,100.0,4
s_1155-1157,100.0,96,96,0,100.0,4
s_1157-1155,100.0,96,96,0,100.0,4
s_1157-1159,100.0,96,96,0,100.0,4
s_1159-1157,100.0,96,96,0,100.0,4
s_1159-1161,100.0,96,96,0,100.0,4
s_1159-3019,100.0,96,96,0,100.0,4
s_1161-1159,100.0,96,96,0,100.0,4
s_1161-1471,100.0,96,96,0,100.0,4
s_1161-9326,100.0,96,96,0,100.0,4
s_11611-11612,100.0,96,96,0,100.0,4
s_11611-7116,100.0,96,96,0,100.0,4
s_11611-7256,100.0,96,96,0,100.0,4
s_11612-11611,100.0,96,96,0,100.0,4
s_1165-1115,100.0,96,96,0,100.0,4
s_1165-4142,100.0,96,96,0,100.0,4
s_11731-2603,100.0,96,96,0,100.0,4
s_11731-941,100.0,96,96,0,100.0,4
s_11739-10706,100.0,96,96,0,100.0,4
s_11773-11422,100.0,96,96,0,100.0,4
s_11773-11423,100.0,96,96,0,100.0,4
s_1187-1197,100.0,96,96,0,100.0,4
s_1187-1199,100.0,96,96,0,100.0,4
s_1189-11416,100.0,96,96,0,100.0,4
s_11894-149,100.0,96,96,0,100.0,4
s_11894-1955,100.0,96,96,0,100.0,4
s_119-105,100.0,96,96,0,100.0,4
s_119-10958,100.0,96,96,0,100.0,4
s_119-3856,100.0,96,96,0,100.0,4
s_1191-10523,100.0,96,96,0,100.0,4
s_1191-381,100.0,96,96,0,100.0,4
s_1191-9387,100.0,96,96,0,100.0,4
s_1195-11428,100.0,96,96,0,100.0,4
s_1195-9306,100.0,96,96,0,100.0,4
s_1195-9387,100.0,96,96,0,100.0,4
s_1195-9688,100.0,96,96,0,100.0,4
s_11952-10613,100.0,96,96,0,100.0,4
s_11952-7180,100.0,96,96,0,100.0,4
s_1197-1187,100.0,96,96,0,100.0,4
s_1197-9688,100.0,96,96,0,100.0,4
s_11981-10066,100.0,96,96,0,100.0,4
s_11981-4205,100.0,96,96,0,100.0,4
s_11982-4035,100.0,96,96,0,100.0,4
s_11982-97,100.0,96,96,0,100.0,4
s_11983-3403,100.0,96,96,0,100.0,4
s_11983-9736,100.0,96,96,0,100.0,4
s_11984-12128,100.0,96,96,0,100.0,4
s_11985-11300,100.0,96,96,0,100.0,4
s_11986-11044,100.0,96,96,0,100.0,4
s_11987-7092,100.0,96,96,0,100.0,4
s_11988-11989,100.0,96,96,0,100.0,4
s_11988-9702,100.0,96,96,0,100.0,4
s_11989-11988,100.0,96,96,0,100.0,4
s_11989-11990,100.0,96,96,0,100.0,4
s_1199-1187,100.0,96,96,0,100.0,4
s_1199-20000,100.0,96,96,0,100.0,4
s_11990-11989,100.0,96,96,0,100.0,4
s_11990-11991,100.0,96,96,0,100.0,4
s_11991-11990,100.0,96,96,0,100.0,4
s_11991-11992,100.0,96,96,0,100.0,4
s_11992-11991,100.0,96,96,0,100.0,4
s_11993-11225,100.0,96,96,0,100.0,4
s_11993-12347,100.0,96,96,0,100.0,4
s_11995-10319,100.0,96,96,0,100.0,4
s_11996-2141,100.0,96,96,0,100.0,4
s_11998-2157,100.0,96,96,0,100.0,4
s_11998-4181,100.0,96,96,0,100.0,4
s_1201-10612,100.0,96,96,0,100.0,4
s_1201-12129,100.0,96,96,0,100.0,4
s_1201-12188,100.0,96,96,0,100.0,4
s_1201-1345,100.0,96,96,0,100.0,4
s_1203-12129,100.0,96,96,0,100.0,4
s_1203-3840,100.0,96,96,0,100.0,4
s_1203-8009,100.0,96,96,0,100.0,4
s_1203-9999,100.0,96,96,0,100.0,4
s_1205-1207,100.0,96,96,0,100.0,4
s_1205-4143,100.0,96,96,0,100.0,4
s_1205-9999,100.0,96,96,0,100.0,4
s_12067-11446,100.0,96,96,0,100.0,4
s_12067-1397,100.0,96,96,0,100.0,4
s_12067-1399,100.0,96,96,0,100.0,4
s_1207-10612,100.0,96,96,0,100.0,4
s_1207-11435,100.0,96,96,0,100.0,4
s_1207-1205,100.0,96,96,0,100.0,4
s_12071-12072,100.0,96,96,0,100.0,4
s_12071-2183,100.0,96,96,0,100.0,4
s_12071-4226,100.0,96,96,0,100.0,4
s_12072-12071,100.0,96,96,0,100.0,4
s_12082-7199,100.0,96,96,0,100.0,4
s_12082-7260,100.0,96,96,0,100.0,4
s_1209-10179,100.0,96,96,0,100.0,4
s_1209-10612,100.0,96,96,0,100.0,4
s_1209-1211,100.0,96,96,0,100.0,4
s_1209-1375,100.0,96,96,0,100.0,4
s_12095-1355,100.0,96,96,0,100.0,4
s_12095-1379,100.0,96,96,0,100.0,4
s_12095-4055,100.0,96,96,0,100.0,4
s_12097-10808,100.0,96,96,0,100.0,4
s_12097-1357,100.0,96,96,0,100.0,4
s_12099-4196,100.0,96,96,0,100.0,4
s_12099-9073,100.0,96,96,0,100.0,4
s_12100-10697,100.0,96,96,0,100.0,4
s_12100-10888,100.0,96,96,0,100.0,4
s_12100-287,100.0,96,96,0,100.0,4
s_12106-12107,100.0,96,96,0,100.0,4
